PW,PL,CL,CW,AL,AW,MC,PC,MX,PX
12,12,11,1,11,1,-1.8015,-36.538,-6.015,-69.282
12,12,11,1,11,2,-2.6397,-43.96,-5.6826,-69.897
12,12,11,1,11,3,-3.3355,-49.579,-5.34,-67.26
12,12,11,1,11,4,-3.8426,-53.457,-5.03,-63.87
12,12,11,1,11,5,-4.1728,-55.967,-4.689,-60.395
12,12,11,1,10,1,-1.223,-30.332,-5.711,-66.236
12,12,11,1,10,2,-1.8006,-36.645,-5.4924,-66.918
12,12,11,1,10,3,-2.2765,-41.292,-5.219,-65.156
12,12,11,1,10,4,-2.6496,-44.577,-4.822,-61.617
12,12,11,1,10,5,-2.9293,-47.074,-4.539,-59.099
12,12,11,1,9,1,-0.89012,-25.92,-5.396,-63.778
12,12,11,1,9,2,-1.2715,-30.943,-5.2465,-64.004
12,12,11,1,9,3,-1.6193,-34.991,-5.008,-62.662
12,12,11,1,9,4,-1.8868,-37.882,-4.6514,-59.963
12,12,11,1,9,5,-2.0725,-39.824,-4.3171,-57.26
12,12,11,1,8,1,-0.6615,-22.334,-4.9821,-60.605
12,12,11,1,8,2,-0.9191,-26.342,-4.9144,-60.955
12,12,11,1,8,3,-1.148,-29.475,-4.638,-59.33
12,12,11,1,8,4,-1.3592,-32.208,-4.418,-57.91
12,12,11,1,8,5,-1.4738,-33.667,-4.0962,-55.477
12,12,11,1,7,1,-0.4802,-19.017,-4.2907,-56.021
12,12,11,1,7,2,-0.6569,-22.22,-4.463,-57.513
12,12,11,1,7,3,-0.779,-24.354,-4.0643,-55.148
12,12,11,1,7,4,-0.947,-26.879,-3.9663,-54.44
12,12,11,1,7,5,-1.03,-28.116,-3.7155,-52.606
12,12,11,1,6,1,-0.368,-16.632,-3.7534,-52.127
12,12,11,1,6,2,-0.4572,-18.592,-3.8608,-53.304
12,12,11,1,6,3,-0.5605,-20.644,-3.7194,-52.472
12,12,3,1,11,1,-1.831,-36.831,-0.2862,-14.6435
12,12,3,2,11,1,-1.851,-36.99,-0.2832,-14.5655
12,12,3,3,11,1,-1.866,-37.115,-0.2824,-14.531
12,12,3,4,11,1,-1.846,-36.889,-0.2794,-14.4481
12,12,3,5,11,1,-1.848,-36.969,-0.2777,-14.403
12,12,3,6,11,1,-1.89,-37.295,-0.2765,-14.369
12,12,3,7,11,1,-1.879,-37.243,-0.276,-14.356
12,12,3,8,11,1,-1.865,-37.115,-0.2736,-14.288
12,12,3,9,11,1,-1.888,-37.43,-0.2732,-14.278
12,12,3,10,11,1,-1.91,-37.769,-0.27175,-14.25
12,12,4,1,11,1,-2.099,-39.006,-0.408,-17.591
12,12,4,2,11,1,-2.116,-39.118,-0.3999,-17.408
12,12,4,3,11,1,-2.11,-39.084,-0.3937,-17.27
12,12,4,4,11,1,-2.102,-39.006,-0.3871,-17.116
12,12,4,5,11,1,-2.093,-38.971,-0.3815,-16.986
12,12,4,6,11,1,-2.143,-39.357,-0.3784,-16.912
12,12,4,7,11,1,-2.153,-39.495,-0.377,-16.882
12,12,4,8,11,1,-2.174,-39.736,-0.3733,-16.788
12,12,4,9,11,1,-2.227,-40.316,-0.3707,-16.725
12,12,4,10,11,1,-2.323,-41.299,-0.3703,-16.714
12,12,5,1,11,1,-2.151,-39.466,-0.5894,-21.283
12,12,5,2,11,1,-2.1711,-39.599,-0.571,-20.937
12,12,5,3,11,1,-2.166,-39.575,-0.5574,-20.684
12,12,5,4,11,1,-2.167,-39.612,-0.5458,-20.454
12,12,5,5,11,1,-2.1475,-39.486,-0.532,-20.183
12,12,5,6,11,1,-2.2355,-40.168,-0.5325,-20.201
12,12,5,7,11,1,-2.232,-40.249,-0.5285,-20.107
12,12,5,8,11,1,-2.28,-40.732,-0.522,-19.969
12,12,5,9,11,1,-2.401,-41.886,-0.521,-19.968
12,12,5,10,11,1,-2.546,-43.287,-0.5202,-19.952
18,6,17,1,6,1,-0.43287,-17.976,-5.3509,-76.39
18,6,16,1,6,1,-0.4254,-17.836,-4.9371,-65.172
18,6,15,1,6,1,-0.5011,-19.112,-4.0563,-58.325
18,6,14,1,6,1,-0.4804,-18.79,-3.236,-51.573
18,6,13,1,6,1,-0.4399,-18.115,-2.5711,-45.727
18,6,12,1,6,1,-0.4246,-17.799,-2.05,-40.639
18,6,11,1,6,1,-0.4935,-18.995,-1.629,-36.19
18,6,10,1,6,1,-0.473,-18.651,-1.2588,-31.71
18,6,17,1,5,1,-0.3086,-15.2155,-5.466,-71.509
18,6,16,1,5,1,-0.336,-15.796,-4.7009,-62.921
18,6,15,1,5,1,-0.33686,-15.795,-3.8505,-55.953
18,6,14,1,5,1,-0.33864,-15.853,-3.0986,-49.938
18,6,13,1,5,1,-0.3093,-15.2418,-2.405,-43.879
18,6,12,1,5,1,-0.3016,-15.0219,-1.9178,-39.053
18,6,11,1,5,1,-0.3402,-15.867,-1.5226,-34.773
18,6,10,1,5,1,-0.337,-15.809,-1.2,-30.77
18,6,17,1,6,2,-0.60556,-21.124,-4.8616,-78.509
18,6,16,1,6,2,-0.6075,-21.167,-4.6997,-66.258
18,6,15,1,6,2,-0.6106,-21.221,-3.9544,-58.543
6,18,6,1,17,1,-4.9336,-63.847,-2.9988,-46.511
6,18,6,1,16,1,-4.042,-56.833,-2.719,-44.361
6,18,6,1,15,1,-3.2477,-50.646,-2.3975,-41.903
6,18,6,1,14,1,-2.6153,-45.447,-2.1527,-39.708
6,18,6,1,13,1,-2.0465,-40.235,-1.8978,-37.431
20,4,19,1,3,1,-0.28353,-14.7161,-5.0472,-77.78
19,5,18,1,4,1,-0.3437,-16.096,-5.255,-76.75
18,6,17,1,5,1,-0.43287,-17.976,-5.3509,-76.39
17,7,16,1,6,1,-0.5109,-19.532,-5.6478,-74.602
16,8,15,1,7,1,-0.6613,-22.25,-5.7873,-74.029
15,9,14,1,8,1,-0.89178,-25.785,-5.806,-73.73
14,10,13,1,9,1,-1.1678,-29.403,-5.8919,-72.828
13,11,12,1,10,1,-1.4433,-32.709,-6.0074,-70.902
12,12,11,1,11,1,-1.8015,-36.538,-6.015,-69.282
11,13,10,1,12,1,-2.3202,-41.383,-5.913,-67.585
10,14,9,1,13,1,-2.8558,-45.815,-5.6829,-64.958
9,15,8,1,14,1,-3.3325,-49.742,-5.2485,-61.6
8,16,7,1,15,1,-3.9985,-54.72,-4.6993,-58.005
7,17,6,1,16,1,-4.5993,-59.799,-3.9448,-53.022
6,18,5,1,17,1,-4.9336,-63.847,-2.9988,-46.511
5,19,4,1,18,1,-5.1027,-68.113,-1.9707,-38.141
4,20,3,1,19,1,-5.0428,-73.098,-1.0943,-28.764
20,4,19,1,3,2,-0.33526,-15.983,-4.7949,-78.533
19,5,18,1,4,2,-0.41279,-17.694,-5.0153,-77.22
18,6,17,1,5,2,-0.605561,-21.124,-4.8616,-78.509
17,7,16,1,6,2,-0.74437,-23.556,-5.1588,-77.91
